(72.5, 0.0)
(72.5, 0.03490658503988659)
(72.5, 0.06981317007977318)
(72.5, 0.10471975511965977)
(72.5, 0.13962634015954636)
(72.5, 0.17453292519943295)
(72.5, 0.20943951023931953)
(72.5, 0.24434609527920614)
(72.5, 0.2792526803190927)
(72.5, 0.3141592653589793)
(72.5, 0.3490658503988659)
(72.5, 0.3839724354387525)
(73.5, 0.41887902047863906)
(73.5, 0.4537856055185257)
(73.5, 0.4886921905584123)
(73.5, 0.5235987755982988)
(74.5, 0.5585053606381855)
(74.5, 0.5934119456780721)
(74.5, 0.6283185307179586)
(74.5, 0.6632251157578452)
(75.5, 0.6981317007977318)
(76.5, 0.7330382858376184)
(79.5, 0.767944870877505)
(80.5, 0.8028514559173915)
(190.5, 0.8377580409572781)
(190.5, 0.8726646259971648)
(190.5, 0.9075712110370514)
(190.5, 0.9424777960769379)
(189.5, 0.9773843811168246)
(154.5, 1.0122909661567112)
(154.5, 1.0471975511965976)
(153.5, 1.0821041362364843)
(154.5, 1.117010721276371)
(153.5, 1.1519173063162575)
(154.5, 1.1868238913561442)
(155.5, 1.2217304763960306)
(155.5, 1.2566370614359172)
(161.5, 1.2915436464758039)
(189.5, 1.3264502315156903)
(189.5, 1.361356816555577)
(257.5, 1.3962634015954636)
(152.5, 1.43116998663535)
(151.5, 1.4660765716752369)
(150.5, 1.5009831567151233)
(150.5, 1.53588974175501)
(150.5, 1.5707963267948966)
(150.5, 1.605702911834783)
(150.5, 1.6406094968746698)
(150.5, 1.6755160819145563)
(150.5, 1.710422666954443)
(150.5, 1.7453292519943295)
(150.5, 1.780235837034216)
(150.5, 1.8151424220741028)
(150.5, 1.8500490071139892)
(150.5, 1.8849555921538759)
(151.5, 1.9198621771937625)
(151.5, 1.9547687622336491)
(151.5, 1.9896753472735356)
(151.5, 2.0245819323134224)
(151.5, 2.0594885173533086)
(151.5, 2.0943951023931953)
(153.5, 2.129301687433082)
(152.5, 2.1642082724729685)
(153.5, 2.199114857512855)
(159.5, 2.234021442552742)
(160.5, 2.2689280275926285)
(160.5, 2.303834612632515)
(160.5, 2.3387411976724013)
(160.5, 2.3736477827122884)
(160.5, 2.4085543677521746)
(160.5, 2.443460952792061)
(161.5, 2.478367537831948)
(257.5, 2.5132741228718345)
(257.5, 2.548180707911721)
(257.5, 2.5830872929516078)
(257.5, 2.6179938779914944)
(257.5, 2.6529004630313806)
(257.5, 2.6878070480712677)
(257.5, 2.722713633111154)
(257.5, 2.7576202181510405)
(257.5, 2.792526803190927)
(257.5, 2.827433388230814)
(257.5, 2.8623399732707)
(257.5, 2.897246558310587)
(257.5, 2.9321531433504737)
(140.5, 2.9670597283903604)
(139.5, 3.0019663134302466)
(139.5, 3.036872898470133)
(139.5, 3.07177948351002)
(138.5, 3.106686068549907)
(138.5, 3.141592653589793)
(138.5, 3.1764992386296798)
(138.5, 3.211405823669566)
(139.5, 3.2463124087094526)
(139.5, 3.2812189937493397)
(139.5, 3.3161255787892263)
(139.5, 3.3510321638291125)
(140.5, 3.385938748868999)
(140.5, 3.420845333908886)
(140.5, 3.455751918948773)
(152.5, 3.490658503988659)
(152.5, 3.5255650890285457)
(151.5, 3.560471674068432)
(151.5, 3.5953782591083185)
(151.5, 3.6302848441482056)
(153.5, 3.6651914291880923)
(154.5, 3.7000980142279785)
(153.5, 3.735004599267865)
(257.5, 3.7699111843077517)
(257.5, 3.804817769347638)
(257.5, 3.839724354387525)
(257.5, 3.8746309394274117)
(257.5, 3.9095375244672983)
(257.5, 3.9444441095071845)
(64.5, 3.979350694547071)
(64.5, 4.014257279586958)
(63.5, 4.049163864626845)
(62.5, 4.084070449666731)
(62.5, 4.118977034706617)
(62.5, 4.153883619746504)
(61.5, 4.1887902047863905)
(61.5, 4.223696789826278)
(61.5, 4.258603374866164)
(60.5, 4.293509959906051)
(60.5, 4.328416544945937)
(60.5, 4.363323129985823)
(60.5, 4.39822971502571)
(60.5, 4.4331363000655974)
(60.5, 4.468042885105484)
(59.5, 4.50294947014537)
(59.5, 4.537856055185257)
(59.5, 4.572762640225144)
(59.5, 4.60766922526503)
(59.5, 4.642575810304916)
(59.5, 4.677482395344803)
(59.5, 4.71238898038469)
(59.5, 4.747295565424577)
(59.5, 4.782202150464463)
(59.5, 4.817108735504349)
(59.5, 4.852015320544236)
(60.5, 4.886921905584122)
(60.5, 4.921828490624009)
(60.5, 4.956735075663896)
(60.5, 4.991641660703783)
(60.5, 5.026548245743669)
(60.5, 5.061454830783555)
(61.5, 5.096361415823442)
(61.5, 5.131268000863329)
(61.5, 5.1661745859032155)
(61.5, 5.201081170943102)
(61.5, 5.235987755982989)
(61.5, 5.270894341022875)
(62.5, 5.305800926062761)
(62.5, 5.340707511102648)
(62.5, 5.375614096142535)
(63.5, 5.410520681182422)
(64.5, 5.445427266222308)
(65.5, 5.480333851262194)
(65.5, 5.515240436302081)
(65.5, 5.550147021341968)
(78.5, 5.585053606381854)
(77.5, 5.6199601914217405)
(78.5, 5.654866776461628)
(75.5, 5.689773361501514)
(76.5, 5.7246799465414)
(76.5, 5.759586531581287)
(74.5, 5.794493116621174)
(74.5, 5.829399701661061)
(74.5, 5.8643062867009474)
(74.5, 5.899212871740834)
(73.5, 5.934119456780721)
(73.5, 5.969026041820607)
(73.5, 6.003932626860493)
(73.5, 6.03883921190038)
(73.5, 6.073745796940266)
(72.5, 6.108652381980153)
(72.5, 6.14355896702004)
(72.5, 6.178465552059927)
(72.5, 6.213372137099814)
(72.5, 6.2482787221397)
